CRM_Vehicle_KEY,nvarchar,36,NULL,NULL,NULL,YES
Organisation_Structure_KEY,nvarchar,36,NULL,NULL,NULL,NO
Created_Date,varchar,10,NULL,NULL,NULL,YES
Created_By_User_KEY,nvarchar,36,NULL,NULL,NULL,YES
Registration_Date,varchar,10,NULL,NULL,NULL,YES
Make,nvarchar,50,NULL,NULL,NULL,YES
Model,nvarchar,50,NULL,NULL,NULL,YES
Specification,nvarchar,500,NULL,NULL,NULL,YES
Vehicle_Colour,nvarchar,100,NULL,NULL,NULL,YES
Purchase_Date,varchar,10,NULL,NULL,NULL,YES
Purchase_Price,numeric,NULL,18,2,2,YES
Vehicle_Driver_Customer_KEY,nvarchar,36,NULL,NULL,NULL,YES
Vehicle_Keeper_Customer_KEY,nvarchar,36,NULL,NULL,NULL,YES
Vehicle_Owner_Customer_KEY,nvarchar,36,NULL,NULL,NULL,YES
Registration_Number,nvarchar,4000,NULL,NULL,NULL,YES
VIN,nvarchar,50,NULL,NULL,NULL,YES
Odometer,int,NULL,10,0,0,YES
Vehicle_Type,nvarchar,300,NULL,NULL,NULL,YES
Interior,nvarchar,100,NULL,NULL,NULL,YES
Transmission,nvarchar,100,NULL,NULL,NULL,YES
Fuel_Type,nvarchar,100,NULL,NULL,NULL,YES
Engine_Size,numeric,NULL,18,2,2,YES
Body_Style,nvarchar,100,NULL,NULL,NULL,YES
New_Used,nvarchar,4,NULL,NULL,NULL,YES
CAPCODE,nchar,40,NULL,NULL,NULL,YES
Model_Year,int,NULL,10,0,0,YES
Manufacturer_Code,nvarchar,50,NULL,NULL,NULL,YES
Engine_Number,nvarchar,50,NULL,NULL,NULL,YES
Service_Interval_Distance,int,NULL,10,0,0,YES
Service_Interval_Weeks,int,NULL,10,0,0,YES
Customer_key,nvarchar,36,NULL,NULL,NULL,YES
LastService,int,NULL,10,0,0,YES
LastMOT,int,NULL,10,0,0,YES
